SIMPLE: scavenger
RECORDS: 1

==== ENTRY 1 ====
HEADWORD: Scavenger
<hw>Scav"en*ger</hw> <pr>(?)</pr>, <pos>n.</pos> <ety>[OE.
<ets>scavager</ets> an officer with various duties, originally attending
to <ets>scavage</ets>, fr. OE. & E. <ets>scavage</ets>. See
<er>Scavage</er>, <er>Show</er>, <pos>v.</pos>]</ety> <def>A person
whose employment is to clean the streets of a city, by scraping or
sweeping, and carrying off the filth. The name is also applied to any
animal which devours refuse, carrion, or anything injurious to
health.</def>⟦br⟧
[<source>1913 Webster</source>]</p>

<p><cs><col><b>Scavenger beetle</b></col> <fld>(Zool.)</fld>, <cd>any
beetle which feeds on decaying substances, as the carrion beetle.</cd>
-- <col><b>Scavenger crab</b></col> <fld>(Zool.)</fld>, <cd>any crab
which feeds on dead animals, as the spider crab.</cd> --
<col><b>Scavenger's daughter</b></col> <ety>[corrupt. of
<ets>Skevington's daughter</ets>]</ety>, <cd>an instrument of torture
invented by Sir W. <etsep>Skevington</etsep>, which so compressed the
body as to force the blood to flow from the nostrils, and sometimes from
the hands and feet.</cd> <rj><au>Am. Cyc.</au></rj> </cs>⟦br⟧
[<source>1913 Webster</source>]</p>

<p><ent>Scavenger hunt</ent>⟦br⟧
